Date,Symbol,Company Name,Type,Split Ratio,Split Number,Industry,Day of Split,Price on day of Split,Price Prior to Split,VolumeDate4Q,Volume4Q,PriceDate4Q,Price4Q,VolumeDate3Q,Volume3Q,PriceDate3Q,Price3Q,VolumeDate2Q,Volume2Q,PriceDate2Q,Price2Q,VolumeDate1Q,Volume1Q,PriceDate1Q,Price1Q
2/16/2012,EMKR,Emcore Corp,Reverse,1 for 4,4,Technology,2/16/2012,$5.93 ,$1.48 ,2/16/2011,8,5/19/2011,$10.12 ,5/19/2011,"606,263",5/19/2011,$9.64 ,8/22/2011,"528,773",8/22/2011,$6.20 ,11/18/2011,"498,208",11/18/2011,$3.14 
2/21/2012,MVIS,Microvision Inc,Reverse,1 for 8,8,Technology,2/21/2012,$4.44 ,$0.56 ,2/21/2011,,2/21/2011,,5/24/2011,"387,726",5/24/2011,$9.76 ,8/25/2011,"273,931",8/25/2011,$7.31 ,11/23/2011,"786,234",11/23/2011,$3.52 
3/22/2012,HEAR,Turtle Beach Corp,Reverse,1 for 5,5,Technology,3/22/2012,$17.80 ,$3.56 ,3/23/2011,"3,650",3/23/2011,$10.60 ,6/23/2011,"3,115",6/23/2011,$18.36 ,9/26/2011,"13,591",9/26/2011,$14.80 ,12/23/2011,"84,428",12/23/2011,$12.00 
5/1/2012,ASUR,Asure Software Inc,Forward,2 for 1,2,Technology,5/1/2012,$4.71 ,$9.42 ,5/2/2011,"17,558",5/2/2011,$1.73 ,8/2/2011,"2,500",8/2/2011,$2.00 ,11/3/2011,"9,340",11/3/2011,$2.41 ,2/1/2012,"3,275",2/1/2012,$4.72 
8/6/2012,TSEM,Tower Semiconductor Ltd.,Reverse,1 for 15,15,Technology,8/6/2012,$8.92 ,$0.59 ,8/7/2011,"1,565,356",8/7/2011,$12.92 ,11/7/2011,"398,882",11/7/2011,$11.87 ,2/8/2012,"596,616",2/8/2012,$12.07 ,5/8/2012,"250,837",5/8/2012,$14.25 
12/21/2012,DQ,Daqo New Energy Corp,Reverse,1 for 5,5,Technology,12/21/2012,$1.25 ,$0.25 ,12/22/2011,"266,898",12/22/2011,$1.67 ,3/23/2012,"168,843",3/23/2012,$2.42 ,6/25/2012,"81,169",6/25/2012,$0.97 ,9/24/2012,"36,041",9/24/2012,$0.82 
2/25/2013,DDD,3d Systems Corp,Forward,2 for 1,2,Technology,2/25/2013,$34.55 ,$69.10 ,2/26/2012,"1,112,908",2/26/2012,$16.35 ,5/29/2012,"1,176,362",5/29/2012,$21.20 ,8/29/2012,"1,358,195",8/29/2012,$29.53 ,11/27/2012,"1,981,537",11/27/2012,$30.16 
3/21/2013,TRMB,Trimble Inc,Forward,2 for 1,2,Technology,3/21/2013,$29.44 ,$58.88 ,3/21/2012,"421,320",3/21/2012,$27.22 ,6/21/2012,"514,967",6/21/2012,$23.57 ,9/24/2012,"633,223",9/24/2012,$24.51 ,12/21/2012,"1,429,294",12/21/2012,$29.69 
3/22/2013,UTSI,Utstarcom Holdings Corp,Reverse,1 for 3,3,Technology,3/22/2013,$8.52 ,$2.84 ,3/22/2012,"351,453",3/22/2012,$16.92 ,6/22/2012,"157,877",6/22/2012,$14.04 ,9/24/2012,"330,972",9/24/2012,$12.60 ,12/24/2012,"83,431",12/24/2012,$12.24 
4/15/2013,APPS,Digital Turbine Inc,Reverse,1 for 5,5,Technology,4/15/2013,$5.00 ,$1.00 ,4/15/2012,"18,200",4/15/2012,$4.95 ,7/16/2012,"82,008",7/16/2012,$4.25 ,10/17/2012,"10,000",10/17/2012,$3.95 ,1/15/2013,225,1/15/2013,$3.65 
4/15/2013,RDWR,Radware Ltd.,Forward,2 for 1,2,Technology,4/15/2013,$14.40 ,$28.80 ,4/15/2012,"122,533",4/15/2012,$18.08 ,7/16/2012,"67,915",7/16/2012,$18.10 ,10/17/2012,"173,003",10/17/2012,$16.64 ,1/15/2013,"209,200",1/15/2013,$17.17 
4/18/2013,CRM,Salesforce Inc,Forward,4 for 1,4,Technology,4/18/2013,$41.03 ,$164.12 ,4/18/2012,"1,390,085",4/18/2012,$39.66 ,7/19/2012,"2,519,580",7/19/2012,$34.78 ,10/22/2012,"1,605,520",10/22/2012,$36.91 ,1/18/2013,"1,586,413",1/18/2013,$42.51 
9/17/2013,CGNX,Cognex Corp,Forward,2 for 1,2,Technology,9/17/2013,$15.60 ,$31.20 ,9/17/2012,"111,803",9/17/2012,$9.38 ,12/18/2012,"145,240",12/18/2012,$9.04 ,3/21/2013,"202,506",3/21/2013,$10.21 ,6/19/2013,"102,671",6/19/2013,$11.39 
9/30/2013,LDOS,Leidos Holdings Inc,Reverse,1 for 4,4,Technology,9/30/2013,$45.52 ,$11.38 ,9/30/2012,"1,064,659",9/30/2012,$32.84 ,12/31/2012,"647,586",12/31/2012,$31.06 ,4/3/2013,"1,802,840",4/3/2013,$37.20 ,7/2/2013,"999,801",7/2/2013,$41.02 
12/17/2012,CREX,Creative Realities Inc,Reverse,1 for 5,5,Technology,12/17/2012,$159.30 ,$31.86 ,12/17/2012,"90,314",12/17/2012,$535.50 ,3/17/2013,"12,605",3/17/2013,$382.50 ,6/18/2013,"9,500",6/18/2013,$358.52 ,9/16/2013,"17,905",9/16/2013,$229.00 
12/17/2013,FISV,Fiserv Inc,Forward,2 for 1,2,Technology,12/17/2013,$28.31 ,$56.62 ,12/17/2012,"1,131,407",12/17/2012,$20.13 ,3/19/2013,"391,162",3/19/2013,$21.27 ,6/20/2013,"549,871",6/20/2013,$21.51 ,9/18/2013,"482,406",9/18/2013,$25.74 
